status,total_num_contacts_interacted_with,num_#_sms,total_interactions,ave_age,duration(s),num_contacts,ratio_of_bad_words_used,num_*_sms,ave_message_body_length,max_age,ave_daily_sms,user_id,calls,num_#_calls,num_bad_words_used,num_*_calls,ave_duration(s),ave_daily_duration(s),num_derogatory_sms,ave_daily_sms_count,ave_daily_contacts_interacted_with,ave_daily_calls
defaulted,253,0,4644,,114266,180,0.0002692961014210548,0,84.9991452991453,,17.908163265306122,30,1134,0,13,0,100.7636684303351,1077.9811320754718,13,17.994871794871795,7.841836734693878,10.69811320754717
defaulted,315,0,4610,,37195,527,0.0006012425679738125,0,43.02133555001385,,13.175182481751825,37,1000,0,18,1,37.195,347.61682242990656,18,16.04,4.383211678832117,9.345794392523365
defaulted,206,0,2285,,23564,619,0.00024388261116982358,0,52.05321354526607,,19.863013698630137,36,835,0,3,9,28.220359281437126,327.27777777777777,3,35.292682926829265,9.41095890410959,11.597222222222221
defaulted,434,0,17633,,55748,489,0.0009441240964833916,0,34.62574183976261,,31.36046511627907,35,1451,0,93,0,38.42039972432805,753.3513513513514,90,31.358527131782946,5.463178294573644,19.60810810810811
defaulted,27,0,66,,598,243,0.0,0,128.69767441860466,,2.6875,34,23,0,0,0,26.0,199.33333333333334,0,3.0,2.5,7.666666666666667
repaid,820,0,6139,,187419,901,0.0009392978748385582,0,64.97408077154913,,4.836734693877551,339,4480,1,16,3,41.83459821428571,1007.6290322580645,16,5.365695792880259,8.583090379008746,24.086021505376344
repaid,937,0,12421,,101319,3479,0.0005704981161676789,0,49.511620434829176,,37.364,338,3080,0,48,0,32.89577922077922,1369.1756756756756,48,39.901709401709404,14.924,41.62162162162162
defaulted,184,0,2447,,2235,73,7.464914899970141e-05,0,30.446976744186045,,16.8359375,335,292,0,1,18,7.654109589041096,24.032258064516128,1,28.342105263157894,4.3515625,3.139784946236559
defaulted,447,0,3727,,4502,70,0.0004054897067997505,0,56.90369917456435,,8.658730158730158,334,454,1,13,6,9.916299559471366,58.467532467532465,13,8.679045092838196,3.2777777777777777,5.896103896103896
defaulted,71,0,334,,4960,53,0.0,0,121.75,,0.2,337,330,1,0,1,15.030303030303031,248.0,0,3.0,6.95,16.5
repaid,83,0,1381,,37254,294,0.0010441138084051162,0,41.348314606741575,,14.432432432432432,336,847,0,4,0,43.98347107438016,1960.7368421052631,4,14.405405405405405,7.4324324324324325,44.578947368421055
defaulted,297,0,2706,,58642,267,0.00045931256219857613,0,78.18618618618619,,16.129032258064516,331,1706,0,6,4,34.373974208675264,1127.7307692307693,6,19.58823529411765,15.370967741935484,32.80769230769231
repaid,168,0,838,,17780,549,0.0003940110323089047,0,111.71174377224199,,3.1222222222222222,330,557,0,2,0,31.92100538599641,573.5483870967741,2,3.3734939759036147,4.633333333333334,17.967741935483872
defaulted,120,0,1883,,19693,262,0.00022241992882562276,0,90.43268416596105,,8.20138888888889,333,702,0,4,0,28.052706552706553,437.6222222222222,4,8.489208633093526,3.986111111111111,15.6
repaid,83,0,1210,,9333,849,0.0002842524161455372,0,47.16188289322618,,32.25925925925926,332,339,1,2,0,27.530973451327434,358.96153846153845,2,43.5,9.0,13.038461538461538
defaulted,228,0,3006,,29660,93,0.0012867465109373452,0,26.529382716049383,,48.23809523809524,6,980,0,13,3,30.26530612244898,741.5,10,72.32142857142857,15.952380952380953,24.5
repaid,424,0,9184,,224146,295,0.0003218173213440606,0,85.08639705882354,,22.269005847953217,99,5376,0,17,2,41.693824404761905,2264.10101010101,17,22.263157894736842,17.035087719298247,54.303030303030305
repaid,723,0,9988,,319015,965,0.0008653110127466968,0,93.93113625184456,,8.659574468085106,98,7953,3,26,8,40.11253614988055,1627.6275510204082,26,9.59433962264151,17.851063829787233,40.576530612244895
defaulted,37,0,327,,1213,205,0.0016731734523145567,0,35.83274021352313,,14.789473684210526,91,46,0,3,0,26.369565217391305,93.3076923076923,3,16.470588235294116,4.368421052631579,3.5384615384615383
defaulted,20,0,571,,1140,87,0.0,0,45.99248120300752,,19.703703703703702,90,39,0,0,0,29.23076923076923,190.0,0,19.666666666666668,2.3703703703703702,6.5
defaulted,140,0,1725,,23287,169,0.00015676438313215238,0,52.031988873435324,,14.42,93,1004,3,1,3,23.19422310756972,465.74,1,24.82758620689655,11.68,20.08
repaid,304,0,2114,,27143,146,0.0,0,114.39775910364146,,3.2454545454545456,92,1400,1,0,30,19.387857142857143,147.5163043478261,0,5.056737588652482,4.581818181818182,7.608695652173913
defaulted,122,0,852,,17425,308,0.0,0,139.74193548387098,,3.4444444444444446,95,666,0,0,2,26.163663663663662,322.68518518518516,0,6.166666666666667,7.555555555555555,12.333333333333334
defaulted,225,0,6171,,8647,209,0.00017254022343958937,0,23.678829479768787,,213.19230769230768,94,628,0,4,0,13.769108280254777,360.2916666666667,4,213.15384615384616,19.423076923076923,26.166666666666668
defaulted,167,0,8164,,39171,117,0.001816100122389356,0,37.72191705575391,,95.85526315789474,97,879,0,92,7,44.563139931740615,851.5434782608696,87,97.12,10.697368421052632,19.108695652173914
defaulted,350,0,6595,,95960,394,0.001229436215678239,0,22.963995354239255,,33.20192307692308,96,3142,0,21,0,30.54105665181413,1314.5205479452054,21,48.605633802816904,10.134615384615385,43.04109589041096
defaulted,307,0,2497,,26901,738,0.0016865079365079366,0,46.49142857142857,,12.510204081632653,238,1271,0,17,3,21.16522423288749,283.1684210526316,17,22.685185185185187,8.214285714285714,13.378947368421052
defaulted,158,0,1158,,28696,310,0.0,0,83.67613636363636,,9.618181818181819,239,629,0,0,3,45.62162162162162,521.7454545454545,0,24.0,6.927272727272728,11.436363636363636
repaid,416,0,6561,,74497,282,0.00014806917791992418,0,74.40758959943781,,13.246511627906976,234,3713,0,5,3,20.06382978723404,407.08743169398906,5,13.492890995260664,12.446511627906977,20.2896174863388
defaulted,197,0,1256,,13364,52,0.00016515276630883568,0,52.507552870090635,,7.609195402298851,235,594,0,1,0,22.4983164983165,164.98765432098764,1,22.033333333333335,5.436781609195402,7.333333333333333
defaulted,147,0,7913,,75697,281,0.0005808044141135473,0,26.545635202271114,,36.329896907216494,236,865,0,20,0,87.51098265895953,2162.7714285714287,19,36.324742268041234,3.4896907216494846,24.714285714285715
repaid,97,0,1381,,49195,96,0.0002044153720359771,0,58.90679611650486,,5.786516853932584,237,866,0,1,1,56.80715935334873,585.6547619047619,1,11.173913043478262,6.089887640449438,10.30952380952381
defaulted,115,0,399,,8989,151,0.0,0,126.4,,0.46511627906976744,230,379,0,0,3,23.717678100263853,209.04651162790697,0,2.111111111111111,5.023255813953488,8.813953488372093
defaulted,83,0,2076,,17729,340,0.002185932879002186,0,25.794529262086513,,58.25925925925926,231,503,0,17,0,35.24652087475149,886.45,17,60.46153846153846,10.777777777777779,25.15
repaid,253,0,9051,,176887,164,0.00041647385469689957,0,79.91246376811594,,35.942708333333336,232,2150,0,36,8,82.27302325581395,1010.7828571428571,35,37.704918032786885,10.114583333333334,12.285714285714286
repaid,166,0,1273,,45966,753,0.0,0,77.82072829131653,,5.1,233,916,3,0,0,50.18122270742358,779.0847457627119,0,13.692307692307692,6.928571428571429,15.525423728813559
defaulted,55,0,315,,5524,246,0.0,0,88.45112781954887,,8.866666666666667,1,182,0,0,0,30.35164835164835,368.26666666666665,0,16.5,6.6,12.133333333333333
defaulted,27,0,176,,2512,86,0.0,0,62.766666666666666,,11.25,146,86,0,0,0,29.209302325581394,358.85714285714283,0,12.714285714285714,5.875,12.285714285714286
repaid,237,0,1636,,42822,1011,7.888923950773115e-05,0,95.44235588972431,,6.487804878048781,147,838,0,1,1,51.10023866348449,594.75,1,8.04040404040404,6.40650406504065,11.63888888888889
